Pathway,Max_GDD_Trans,P_Value,Pathway_Length
Colorectal cancer,1.8825380584482831,0.0,24.0
Neurotrophin signaling pathway,2.0766249780442716,0.0,21.0
Chromosomal and microsatellite instability in colorectal cancer ,1.95090426812097,0.0,20.0
Hepatitis C,1.9790407984778022,0.0,25.0
Endometrial cancer,2.0000430097877513,0.0,21.0
Prostate cancer,2.024653341027335,0.03333333333333333,23.0
Non-small cell lung cancer,2.0513735836520763,0.03333333333333333,23.0
Kit receptor signaling pathway,2.0963815030561257,0.03333333333333333,18.0
TGF-beta signaling pathway,2.0947298123416798,0.03333333333333333,21.0
Regulation of angiogenesis,2.214254059830702,0.06666666666666667,10.0
Focal adhesion,2.0550726711180825,0.06666666666666667,25.0
Adenocarcinoma,2.0176521080184893,0.06666666666666667,24.0
Wnt signaling pathway and pluripotency,2.1710236704449595,0.06666666666666667,9.0
Melanoma,2.101667437266483,0.1,19.0
Pancreatic cancer,2.024625815065342,0.1,24.0
Leptin signaling pathway,2.0867841469899924,0.13333333333333333,25.0
RAC1/PAK1/p38/MMP2 pathway,2.029563753719582,0.13333333333333333,24.0
Cellular response to transforming growth factor beta stimulus,2.2462630348529733,0.16666666666666669,10.0
Hepatobiliary disease,2.099550363095671,0.2,25.0
Chronic myeloid leukemia,2.070104234866148,0.2,24.0
Hepatobiliary system cancer,2.1276109325564088,0.2,23.0
Negative regulation of transforming growth factor beta receptor signaling pathway,2.3113232747354155,0.23333333333333336,4.0
Signaling by TGFB family members,2.249317999591755,0.23333333333333336,9.0
Canonical and non-canonical TGF-B signaling,2.3141348457930837,0.26666666666666666,4.0
Transforming growth factor beta receptor signaling pathway,2.2561561550150087,0.26666666666666666,9.0
Positive regulation of angiogenesis,2.263211398945264,0.3,7.0
TROP2 regulatory signaling,2.152398700062321,0.3,21.0
Prolactin signaling pathway,2.11770298445021,0.33333333333333337,22.0
PI3K/AKT Signaling in Cancer,2.1169186794175863,0.33333333333333337,22.0
Angiogenesis,2.1870722289207967,0.4,19.0
Regulation of transforming growth factor beta receptor signaling pathway,2.3026811427729483,0.46666666666666673,7.0
Regulation of transforming growth factor beta2 production,2.3198921667312713,0.46666666666666673,3.0
Sprouting angiogenesis,2.331349263872483,0.5,4.0
FoxO signaling pathway,2.170580064964282,0.5333333333333333,25.0
Oncostatin M signaling pathway,2.2192924724534326,0.5333333333333333,20.0
Regulation of cell migration involved in sprouting angiogenesis,2.3445300948757835,0.7666666666666667,3.0
Translation inhibitors in chronically activated PDGFRA cells,2.2863613690581075,0.8,17.0
Autophagy - animal,2.2828838088026573,0.9333333333333335,22.0
Head and neck squamous cell carcinoma,2.3188617058859253,1.0,24.0
max_orig_gdd_values,2.3457775608156397,,
TGF-beta receptor signalingTGF-beta signaling in thyroid cells for epithelial-mesenchymal transition,2.3457775608156384,,
